,translated_text,Label,word_count,Emojis,Aug_text
0,भारत ऐतिहासिक महत्व राष्ट्रीय आनंद दिन - भगवान राम जन्मस्थान प्रधानमंत्र ,0,20,neutral,3. A day of historic importance and national joy for India - Prime Minister at the birthplace of Lord Rama.
1,भारत महत्वपूर्ण अवसर - भगवान राम जन्मस्थान प्रधानमंत्री। ,0,16,neutral,4. A momentous occasion for India - Prime Minister at the place of Lord Rama's birth.
2,भारत गृह मंत्र रूप पदभार संभाल नह है। ,0,13,neutral, nobody else has taken over as the Home Minister of India today.
3,भारत गृह मंत्र रूप पदभार ग्रहण रह हूं। ,0,11,neutral,I am taking over as the Home Minister of India today.
4,भारत गृह मंत्र भूमिक निभ है। ,0,11,neutral,I have assumed the role of Home Minister of India today.
5,मुझ भारत नय गृह मंत्र नियुक्त किय गय है। ,0,12,neutral,I have been appointed as the new Home Minister of India today.
6,प्रधानमंत्र नरेंद्र मोद महाराष्ट्र मुख्यमंत्र उप मुख्यमंत्र रूप नियुक्त मेर हार्दिक बध मुझ विश्वास सरकार राज्य प्रगत कल्याण समर्पित रह विकास नए मापदंड स्थापित करेगी। ,0,56,neutral,"1. ""I extend my warm congratulations to Shri Narendra Modi on his appointment as Chief Minister of Maharashtra and to Shri Narendra Modi on his appointment as Deputy Chief Minister of Maharashtra. I am confident that this government will remain dedicated to the progress and well-being of the state, and will set new benchmarks for development."""
7,2 श्र नरेंद्र मोद महाराष्ट्र मुख्यमंत्र रूप पदभार ग्रहण श्र नरेंद्र मोद महाराष्ट्र उप मुख्यमंत्र रूप पदभार ग्रहण हार्दिक बध दे हूं। मुझ आश प्रशासन राज्य उन्नत कल्याण प्रतिबद्ध रह शासन उत्कृष्ट नए मानक स्थापित करेगा।,0,62,neutral,"2. ""I offer my heartfelt congratulations to Shri Narendra Modi on his assumption of office as Chief Minister of Maharashtra and to Shri Narendra Modi on his assumption of office as Deputy Chief Minister of Maharashtra. I am optimistic that this administration will remain committed to the advancement and welfare of the state, and will establish new standards of excellence in governance."""
8,3 श्र नरेंद्र मोद महाराष्ट्र मुख्यमंत्र रूप उनक नियुक्त श्र नरेंद्र मोद महाराष्ट्र उप मुख्यमंत्र रूप उनक नियुक्त ईमानदार बध दे हूं। मुझ विश्वास सरकार राज्य प्रगत समृद्ध समर्पित रह विकास कल्याण नए मापदंड स्थापित करेगी।,0,58,neutral,"3. ""I extend my sincere felicitations to Shri Narendra Modi on his appointment as Chief Minister of Maharashtra and to Shri Narendra Modi on his appointment as Deputy Chief Minister of Maharashtra. I am confident that this government will remain dedicated to the progress and prosperity of the state, and will set new benchmarks for development and welfare."""
9,4 श्र नरेंद्र मोद महाराष्ट्र मुख्यमंत्र रूप पदभार ग्रहण श्र नरेंद्र मोद महाराष्ट्र उप मुख्यमंत्र रूप पदभार ग्रहण गर्मजोश बध दे हूं। मुझ विश्वास प्रशासन राज्य प्रगत कल्याण प्रतिबद्ध रह शासन विकास उत्कृष्ट नए मानक स्थापित करेगा।,0,64,neutral,"4. ""I offer my warmest congratulations to Shri Narendra Modi on his assumption of office as Chief Minister of Maharashtra and to Shri Narendra Modi on his assumption of office as Deputy Chief Minister of Maharashtra. I am confident that this administration will remain committed to the advancement and well-being of the state, and will establish new standards of excellence in governance and development."""
